;;;(oC);(%);(m/s);(oC);;(%);;(m/s);;(oC);;(%);;(mm);(MJ/m2.d);;;;
ANO;MES;DIA;TMED;URMED;VentoMED;TMAX;TMAX_hora;URMAX;URMAX_hora;VentoMAX;VentoMAX_hora;TMIN;TMIN_hora;URMIN;URMIN_hora;Chuva;Rad.Glob.;Estiagem;Semestre;ElNino;Estacao
1903;5;23;;;;;;;;;;;;;;0,4;;0;1;;Outono
1903;5;24;;;;;;;;;;;;;;0;;8;1;;Outono
1903;5;25;;;;;;;;;;;;;;0;;8;1;;Outono
1903;5;26;;;;;;;;;;;;;;0;;8;1;;Outono
1903;5;27;;;;;;;;;;;;;;0;;8;1;;Outono
1903;5;28;;;;;;;;;;;;;;0;;8;1;;Outono
1903;5;29;;;;;;;;;;;;;;0;;8;1;;Outono
1903;5;30;;;;;;;;;;;;;;0;;8;1;;Outono
1903;5;31;;;;;;;;;;;;;;0;;8;1;;Outono
1903;6;1;;;;;;;;;;;;;;0,6;;0;1;;Outono
1903;6;2;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;3;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;4;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;5;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;6;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;7;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;8;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;9;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;10;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;11;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;12;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;13;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;14;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;15;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;16;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;17;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;18;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;19;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;20;;;;;;;;;;;;;;0;;22;1;;Outono
1903;6;21;;;;;;;;;;;;;;0;;22;1;;Inverno
1903;6;22;;;;;;;;;;;;;;0;;22;1;;Inverno
1903;6;23;;;;;;;;;;;;;;0;;22;1;;Inverno
1903;6;24;;;;;;;;;;;;;;1,2;;0;1;;Inverno
1903;6;25;;;;;;;;;;;;;;0;;3;1;;Inverno
1903;6;26;;;;;;;;;;;;;;0;;3;1;;Inverno
1903;6;27;;;;;;;;;;;;;;0;;3;1;;Inverno
1903;6;28;;;;;;;;;;;;;;5;;0;1;;Inverno
1903;6;29;;;;;;;;;;;;;;0;;22;1;;Inverno
1903;6;30;;;;;;;;;;;;;;0;;22;1;;Inverno
1903;7;1;;;;;;;;;;;;;;0;;22;2;;Inverno
1903;7;2;;;;;;;;;;;;;;0;;22;2;;Inverno
1903;7;3;;;;;;;;;;;;;;0;;22;2;;Inverno
