date,plot,species,si.offset.e,si.offset.n,tree.easting,tree.northing,sensor.est.e,sensor.est.n,dbh,height,cbh,rad.in,rad.out,distance,bearing,east.center,north.center,tag
2013-09-26,PLT0001,querru,112.5749969,23.17670059,731705.475,4713245.077,731703.3386,4713242.242,25.1,14.9,11.9,0.87,3.45,3.55,37,-2.136443332,-2.835156061,60172
2013-09-26,PLT0001,pinure,115.2089996,25.69409943,731708.109,4713247.594,731703.0553,4713242.881,38.9,25.7,19.1,2,1,6.91,47,-5.053654078,-4.712608668,60176
2013-09-26,PLT0001,querru,112.4899979,21.33569908,731705.39,4713243.236,731702.9365,4713242.578,31.5,23.3,12.7,2.52,1.66,2.54,75,-2.453451599,-0.657400375,60190
2013-09-26,PLT0001,pinure,116.6689987,19.24699974,731709.569,4713241.147,731703.9539,4713243.53,29.4,23.8,20.7,1.08,0.8,6.1,113,-5.615079606,2.383459884,60061
2013-09-26,PLT0001,pinure,117.2740021,17.68420029,731710.174,4713239.584,731703.3338,4713243.694,34.5,29.8,23.4,2.6,1,7.98,121,-6.84019506,4.110003838,60060
2013-09-26,PLT0001,acerru,112.6819992,19.8484993,731705.582,4713241.748,731703.1531,4713242.881,14.9,15.6,8.1,2.72,2.53,2.68,115,-2.428904869,1.132616941,60056
2013-09-26,PLT0001,pinure,112.0279999,20.19610023,731704.928,4713242.096,731704.928,4713242.096,23.9,14.3,1.3,NA,NA,NA,127,NA,NA,60191
2013-09-26,PLT0001,pinure,114.1230011,14.54640007,731707.023,4713236.446,731703.491,4713243.378,38.2,26.7,23.5,1.25,1.6,7.78,153,-3.532046088,6.932030758,60050
2013-09-26,PLT0001,pinure,110.2330017,15.44029999,731703.133,4713237.34,731702.8431,4713242.873,41.8,27.4,22.9,1.39,2.09,5.54,177,-0.289941198,5.532407623,60053
2013-09-26,PLT0001,pinure,108.8119965,17.50959969,731701.712,4713239.41,731701.712,4713239.41,31.1,15.6,1.3,NA,NA,NA,207,NA,NA,60039
2013-09-26,PLT0001,pinure,102.8310013,19.23800087,731695.731,4713241.138,731702.4154,4713243.704,35.4,25.5,21.5,0.81,1.61,7.16,249,6.684435854,2.565914519,60030
2013-09-26,PLT0001,pinure,107.3460007,20.80130005,731700.246,4713242.701,731700.246,4713242.701,36.1,12.9,1.3,NA,NA,NA,270,NA,NA,60115
2013-09-26,PLT0001,pinure,104.3330002,24.11240005,731697.233,4713246.012,731700.5773,4713244.453,36.3,27.8,19.2,1.25,0.73,3.69,295,3.344275734,-1.559461386,60119
2013-09-26,PLT0047,tsugca,58.87030029,180.3430023,731651.7703,4713402.243,731651.091,4713398.748,29.1,21.5,12.4,1.64,1.25,3.56,11,-0.679280024,-3.494592773,31039
2013-09-26,PLT0047,tsugca,61.72859955,180.473999,731654.6286,4713402.374,731650.0256,4713399.608,38.2,24,12.5,1.5,0.93,5.37,59,-4.602988405,-2.765754462,40837
2013-09-26,PLT0047,tsugca,59.30490112,178.0119934,731652.2049,4713399.912,731650.2747,4713399.572,20.9,18.6,5.8,1.65,1.36,1.96,80,-1.930223196,-0.340350428,30967
2013-09-26,PLT0047,pinust,59.75699997,174.5279999,731652.657,4713396.428,731650.907,4713399.459,67.8,30.6,19.1,3.56,2.97,3.5,150,-1.75,3.031088913,30968
2013-09-26,PLT0047,tsugca,52.64920044,171.6889954,731645.5492,4713393.589,731649.7048,4713399.309,35.7,18.2,5.8,1.59,3.53,7.07,216,4.155641734,5.71975015,30971
2013-09-26,PLT0047,tsugca,55.89860153,178.0939941,731648.7986,4713399.994,731652.3493,4713400.749,53.6,22,6.9,3.13,3.57,3.63,258,3.550675791,0.754719438,30966
2013-09-26,PLT0047,tsugca,55.09759903,182.0370026,731647.9976,4713403.937,731650.5626,4713399.494,31,22.7,13.5,2.57,1.89,5.13,330,2.565,-4.442710321,31040
2013-09-26,PLT0047,pinust,53.41930008,185.0740051,731646.3193,4713406.974,731651.3293,4713398.296,59.8,26.9,19.6,3.2,2.98,10.02,330,5.01,-8.677574546,31032
2013-09-26,PLT0005,tsugca,66.01069641,214.1569977,731658.9107,4713436.057,731658.0311,4713431.532,41.8,11.8,1.3,NA,NA,4.61,11,-0.879629469,-4.525301316,40916
2013-09-26,PLT0005,pinust,65.93289948,215.4100037,731658.8329,4713437.31,731657.5965,4713430.949,69.7,26.1,17.1,5.14,2.71,6.48,11,-1.23644229,-6.360944149,40914
2013-09-26,PLT0005,pinust,66.50520325,213.8829956,731659.4052,4713435.783,731657.6783,4713431.509,47.6,23,15.3,4.66,0.51,4.61,22,-1.726936396,-4.27431757,40915
2013-09-26,PLT0005,pinust,71.728302,212.4799957,731664.6283,4713434.38,731659.0679,4713430.769,59.3,28.9,17.3,2.85,2.26,6.63,57,-5.560385865,-3.610956802,40923
2013-09-26,PLT0005,pinust,77.46910095,209.173996,731670.3691,4713431.074,731658.9122,4713432.278,63,28.9,19.1,1.49,1.55,11.52,96,-11.45689223,1.204167897,40950
2013-09-26,PLT0005,pinust,71.61000061,207.9929962,731664.51,4713429.893,731658.0994,4713432.1,40.4,25.4,19.1,0.98,2,6.78,109,-6.410615943,2.207352087,40947
2013-09-26,PLT0005,pinust,71.5605011,207.7709961,731664.4605,4713429.671,731658.4496,4713432.222,49.8,28.1,21.3,3.34,1.04,6.53,113,-6.010896693,2.551474269,40946
2013-09-26,PLT0005,tsugca,65.88359833,204.3070068,731658.7836,4713426.207,731658.7836,4713431.457,40.7,24,11.7,1.03,5.17,5.25,180,-1.29E-15,5.25,40895
2013-09-26,PLT0005,tsugca,64.69180298,206.3280029,731657.5918,4713428.228,731658.4511,4713431.435,20.8,10.1,1.3,NA,NA,3.32,195,0.85927923,3.206873743,40889
2013-09-26,PLT0005,tsugca,64.45089722,206.5379944,731657.3509,4713428.438,731659.0716,4713430.895,28.6,22.3,13.9,0.48,1.22,3,215,1.720729309,2.457456133,40888
2013-09-26,PLT0005,tsugca,63.7195015,206.2510071,731656.6195,4713428.151,731659.0056,4713431.559,29.6,12.1,1.3,NA,NA,4.16,215,2.386077975,3.407672504,40886
2013-09-26,PLT0005,pinust,59.29339981,204.6620026,731652.1934,4713426.562,731659.2651,4713431.332,71.1,31.2,18.3,2.57,4.44,8.53,236,7.071690494,4.769915467,31093
2013-09-26,PLT0005,tsugca,63.11100006,209.9080048,731656.011,4713431.808,731658.0607,4713431.772,41.8,22.9,11.7,2.33,3.31,2.05,271,2.049687775,-0.035777433,40887
2013-09-26,PLT0005,pinust,62.11330032,219.9109955,731655.0133,4713441.811,731657.0511,4713431.327,61.1,28.1,18.9,2.39,4.72,10.68,349,2.037840071,-10.48377832,40912
2013-09-26,PLT0005,pinust,63.56499863,216.826004,731656.465,4713438.726,731657.7951,4713431.182,33.8,18.3,14,1.23,1,7.66,350,1.330145041,-7.543627388,40913
2013-09-26,PLT0013,tsugca,158.9980011,222.697998,731751.898,4713444.598,731752.7975,4713439.497,35.5,24.5,14.4,4.34,1.85,5.18,350,0.89949756,-5.101304161,80990
2013-09-26,PLT0013,tsugca,160.3699951,227.0180054,731753.27,4713448.918,731751.442,4713439.514,51.9,23.4,12.8,2.59,3.27,9.58,11,-1.827950176,-9.403988417,90854
2013-09-26,PLT0013,tsugca,163.0950012,219.4839935,731755.995,4713441.384,731751.3879,4713440.405,23.3,18.8,11.9,1.85,0.55,4.71,78,-4.607075199,-0.979264064,90811
2013-09-26,PLT0013,acerru,167.1549988,216.9440002,731760.055,4713438.844,731752.4909,4713441.449,38.5,22.5,13.8,4.1,2.96,8,109,-7.564148605,2.604545236,90817
2013-09-26,PLT0013,tsugca,159.4349976,216.048996,731752.335,4713437.949,731751.8179,4713440.609,24.4,18.8,9.5,2.51,1.16,2.71,169,-0.517092377,2.660209667,80894
2013-09-26,PLT0013,tsugca,159.2619934,214.2460022,731752.162,4713436.146,731752.6543,4713440.156,33.8,20.5,12.2,1.69,3.24,4.04,187,0.492352147,4.009886453,80895
2013-09-26,PLT0013,pinust,156.5209961,213.4600067,731749.421,4713435.36,731751.8544,4713440.136,44.3,26.1,14.9,2,2.52,5.36,207,2.433389079,4.77579497,80896
